name	iso2	iso3	first_year	last_year
Burundi	BI	BDI	2002	2013
Guinea	GN	GIN	2002	2011
Lesotho	LS	LSO	2002	2008
Comoros	KM	COM	2002	2007
Djibouti	DJ	DJI	2002	2009
Eritrea	ER	ERI	2002	2013
Somalia	SO	SOM	2002	2013
"Central African Republic"	CF	CAF	2002	2013
Libya	LY	LBY	2002	2013
"South Sudan"	SS	SSD	2011	2013
Nigeria	NG	NGA	2002	2013
Mauritania	MR	MRT	2002	2013
Algeria	DZ	DZA	2002	2013
Chad	TD	TCD	2002	2013
Mali	ML	MLI	2002	2013
Liberia	LR	LBR	2002	2013
Niger	NE	NER	2002	2013
Rwanda	RW	RWA	2002	2013
Senegal	SN	SEN	2002	2013
Uganda	UG	UGA	2002	2013
"Ivory Coast"	CI	CIV	2002	2013
Ethiopia	ET	ETH	2002	2013
Sudan	SD	SDN	2002	2013
"Sierra Leone"	SL	SLE	2002	2011
"Democratic Republic of the Congo"	CD	COD	2002	2013
Guinea-Bissau	GW	GNB	2002	2009
"Republic of the Congo"	CG	COG	2002	2012
Mozambique	MZ	MOZ	2002	2003
Angola	AO	AGO	2002	2013
