adm0_code	iso2
213	SM
158	MQ
54	CX
258	VI
146	LI
147	LT
237	CH
85	FR
150	MG
26	BY
109	HM
64	CY
90	GM
99	GD
267	PS
187	OM
209	LC
45	CM
3	AL
78	EE
160	MU
180	NI
265	UM
104	GG
250	TM
231	LK
69	DK
29	BJ
89	GA
51	CL
145	LY
23	BD
10	AQ
83	FJ
222	SG
137	KW
156	MT
74	SS
119	IE
121	IL
122	IT
24	BB
241	MK
21	BH
108	HT
116	ID
117	IR
132	KZ
217	SN
200	PR
205	RW
57	CO
113	HU
181	NE
229	ES
212	WS
243	TG
234	SJ
41	BG
238	SY
33364	HK
202	KR
147296	TW
40	BN
264	VN
106	GN
98	GL
60	CK
270	ZM
228	GS
206	RE
126	JP
61	CR
138	KG
111	HN
185	MP
236	SE
49	CF
235	SZ
251	TC
81	FK
6	SD
254	UA
18	AT
233	SR
7	AD
198	PL
248	TN
31	BT
139	LA
191	PA
260	UY
147295	CN
246	TT
162	MX
82	FO
249	TR
177	NL
62	HR
256	GB
149	MO
225	SB
39	VG
33	BO
130	JO
166	MC
128	JE
179	NZ
30	BM
173	NR
169	MA
170	MZ
215	SA
97	GR
67	KP
192	PG
110	VA
189	PW
161	YT
211	VC
19	AZ
37	BR
101	GU
73	EC
71	DM
255	AE
87	PF
194	PY
240	TH
271	ZW
204	RU
59	CG
20	BS
197	PN
224	SI
220	SC
17	AU
118	IQ
77	ER
47	CV
142	LS
44	KH
261	UZ
8	AO
242	TL
269	YE
93	DE
63	CU
91	PS
70	DJ
56	CC
43	BI
115	IN
176	AN
1	AF
103	GT
163	FM
48	KY
159	MR
28	BZ
38	IO
11	AG
42	BF
50	TD
196	PH
13	AM
167	MN
208	KN
114	IS
65	CZ
171	MM
182	NG
203	RO
266	WF
239	TJ
27	BE
155	ML
79	ET
168	MS
227	ZA
72	DO
152	MW
164	UM
268	EH
188	PK
144	LR
2648	RS
184	NF
46	CA
140	LV
35	BW
245	TO
34	BA
221	SL
86	GF
154	MV
183	NU
36	BV
100	GP
123	JM
175	NP
178	NC
9	AI
252	TV
95	GI
257	TZ
94	GH
201	QA
226	SO
58	KM
84	FI
262	VU
4	DZ
210	PM
148	LU
186	NO
75	SV
133	KE
14	AW
68	CD
2647	ME
259	US
253	UG
5	AS
263	VE
92	GE
195	PE
12	AR
120	IM
66	CI
165	MD
141	LB
199	PT
107	GY
214	ST
105	GW
207	SH
88	AQ
223	SK
153	MY
40765	EG
157	MH
76	GQ
